group,feature,purpose,data_source,why_it_may_help,evidence_from_eda,potential_risk_leakage,priority
DEMAND,activity_class / historical zero% (series-level descriptor),Assign each series to a broad demand-regularity segment for potential hierarchical or segment-specific modeling,sales_long_full.parquet (self) + Phase 3 quartile thresholds,Series behave very differently and this groups them,"7,629 series are 'High-activity', 15,267 'Regular/intermittent', 6,103 'Sparse', 1,491 'Extremely sparse' (Phase 3 classification, thresholds at the p25/p75/p95 of the zero% distribution).",HIGH risk if computed using the ENTIRE series history (including the forecast period) - must be computed using only history available up to the origin date to avoid leaking the target period's own behavior into its own segment label.,Medium
PRICE,current_price / price on target day,Direct price-demand relationship,sell_prices.csv (joined),Price is one of the few genuinely forward-known variables in this dataset,sell_prices.csv covers weeks beyond the processed table's last day (d_1941) per the processing report - Walmart prices are set in advance.,LOW leakage risk (price is legitimately known ahead of time) BUT this processed dataset (sales_long_full.parquet) does not yet include the future weeks' prices - a separate join against sell_prices.csv for the forecast horizon would be needed.,Medium
PRICE,price_relative_to_recent_average,Normalize price within an item so cross-item scale differences don't dominate,sales_long_full.parquet (self),Shows a much clearer relationship with demand than raw price once item scale is controlled for,"Mean sales by relative-price bin: 2.34 units at <0.85x the item's own average price, falling to 1.29 units at 1.0-1.05x, before an unexplained uptick at 1.05-1.15x (1.56) (Phase 7). Directionally consistent with basic price-demand intuition for the common range, but not perfectly monotonic - flagged for team discussion.",HIGH risk if the 'item's own average price' is computed over the FULL series history (including the forecast period) - must use an expanding or trailing average computed only from history up to the origin.,Medium
PRICE,price_change / price_change_pct,Test whether a recent price move is associated with a demand shift,sales_long_full.parquet (self),Hypothesized demand-shock signal in the absence of an explicit promotion field,"Sales rose both after price INCREASES (+70.98% mean, Phase 7) and after price DECREASES (+48.47% mean, Phase 7), while the MEDIAN change in both directions was 0%. This pattern is inconsistent with a simple 'lower price leads to more sales' story and suggests price changes often co-occur with other demand-moving events rather than causing the lift themselves.","MEDIUM: this is a correlational, exploratory finding only - there is no promotion field to confirm causality. Using it as a hard feature risks encoding a spurious/confounded signal. Must be clearly labeled a hypothesis if used.",Low (as a direct feature) / worth further investigation
EVENT,event_name (specific holiday identity),"Capture the large, event-specific effects the aggregate event flag hides",calendar.csv (joined),Individual named events have very large and very different effects that a single binary flag averages away,"Christmas -99.95% vs local baseline, Thanksgiving -29.9%, NewYear -20.4%, Mother's day -12.5%, but LaborDay +27.5%, ColumbusDay +9.6% (Phase 5, event_name_aggregated_lift.csv, 30 named events).",None - the calendar (including all events) is known for the entire 28-day forecast horizon in advance.,High
EVENT,"is_event_day (any event, binary)",Simple flag for 'something calendar-notable is happening',calendar.csv (joined),Cheap baseline event signal,"Weak in aggregate: event-day mean sales are actually 4.6% LOWER than non-event days overall (Phase 5) - masking the large but offsetting effects of individual events (some strongly negative like Christmas, some positive like LaborDay).",None - known in advance. Low standalone value given how much it averages away; better used alongside event_name.,Low
EVENT,event_type_1,Group events into broad types (Sporting/Cultural/National/Religious),calendar.csv (joined),Coarser grouping that might generalize better to rare events than exact event_name,"Mean sales by type: Sporting 1.174, Cultural 1.139, Religious 1.129, National 0.966 vs non-event baseline 1.135 (Phase 5) - a real but modest spread.",None - known in advance.,Low
EVENT,event_proximity (days to/from nearest event),Capture pre/post-event demand build-up or hangover,calendar.csv (joined),Some holiday shopping patterns build up over several days rather than landing only on the exact date,Not directly tested in this EDA - flagged as an untested hypothesis for follow-up analysis before adoption.,"None expected (calendar-derived), but the underlying effect is UNVERIFIED - do not treat as evidenced until tested.",Low (pending further evidence)
SNAP,snap indicator (state-specific: snap_CA/snap_TX/snap_WI matched to the row's own state),Capture the state-level SNAP benefit calendar's effect on food spending,calendar.csv (joined),"SNAP effect is real, sizeable, and concentrated exactly where it should be (food)","Overall SNAP-day sales +12.7% vs non-SNAP (Phase 6). Effect is strongest in FOODS (+17.3%) and specifically FOODS_2 (+32.3%), much weaker in HOBBIES (+2.5%) and HOUSEHOLD (+3.5%) - a pattern that matches how SNAP benefits are actually meant to be used, a good internal consistency check (Phase 6).","None - the SNAP calendar is published in advance, same as other calendar fields.",High
PRODUCT/ACTIVITY,days_since_first_listing / active-series indicator (as of origin),Distinguish genuine pre-listing 'not yet available' periods from ordinary intermittent demand,sales_long_full.parquet (self) - first date with a non-null sell_price,"Strong, specific evidence that leading zero-runs are structurally different from later zero-runs","For series with a leading zero block, the gap until first sale lines up almost exactly with the gap until first available price: median difference of only 3 days, and 99.48% of series are within 7 days (Phase 3, series_leading_zero_and_price_gap.csv). This is the strongest evidence in the whole EDA for treating early-life zeros differently from later intermittent zeros.",LOW risk - first_priced_date is a historical fact fixed before the origin date in almost all practical cases (item introductions in the forecast horizon itself would need care).,High
PRODUCT/ACTIVITY,category / department / store / state (static hierarchy fields),"Let the model share statistical strength within, and distinguish behavior across, hierarchy groups",sales_long_full.parquet (self),Substantial and consistent behavioral differences exist across every level of the hierarchy,"Zero% ranges from 58.6% (FOODS_3) to 88.4% (HOBBIES_2) by department (Phase 3). Mean sales, seasonality_cv (p50 0.26 vs p90 0.56, Phase 8), SNAP sensitivity, and event sensitivity all vary materially by category/department/store (Phases 2,3,4,5,6,8).","None - static identifiers, always known.",High
PRODUCT/ACTIVITY,"seasonality_cv (per-series, as of origin)",Identify which series are strongly seasonal vs flat,sales_long_full.parquet (self) - CV of monthly mean sales,Lets a model or segmentation strategy treat highly seasonal items differently from steady sellers,"Per-series seasonality CV spans a wide range: p10=0.136, p50=0.263, p90=0.557 (Phase 8) - genuine heterogeneity, not a uniform pattern.",HIGH risk if computed on the full series history (including the forecast period) - must be computed using only pre-origin history.,Medium
